Company,Location,Date of Posting,Total Compensation,Base,Stock,Bonuses
Databricks,"San Francisco, CA",2022-09-12 00:00:00,584925,165000,399300,20600
Amazon,"Santa Clara, CA",2022-09-15 00:00:00,453000,200000,125000,128000
Google,"Mountain View, CA",2022-09-18 00:00:00,453000,168000,260000,25000
Amazon,"Santa Clara, CA",2022-09-18 00:00:00,433000,200000,125000,108000
Google,"Sunnyvale, CA",2022-09-15 00:00:00,430000,200000,180000,50000
Stripe,"San Francisco, CA",2022-09-20 00:00:00,418000,198000,200000,20000
Cruise,"San Francisco, CA",2022-09-30 00:00:00,415000,225000,125000,65000
Color,"San Francisco, CA",2022-09-22 00:00:00,407600,200000,183600,24000
Rippling,"San Francisco, CA",2022-09-20 00:00:00,407063,168000,239100,N/A
Amazon,"Santa Clara, CA",2022-09-25 00:00:00,405750,195000,122800,88000
Apple,"Cupertino, CA",2022-09-30 00:00:00,399000,194000,190000,15000
Apple,"Cupertino, CA",2022-09-21 00:00:00,397500,225000,150000,22500
Nuro,"Mountain View, CA",2022-09-08 00:00:00,363400,195000,145000,23400
Microsoft,"Mountain View, CA",2022-09-21 00:00:00,362000,210000,120000,32000
Apple,"Cupertino, CA",2022-10-02 00:00:00,360000,187000,148000,25000
Moveworks,"Mountain View, CA",2022-09-30 00:00:00,357400,180000,177400,N/A
ByteDance,"Mountain View, CA",2022-09-22 00:00:00,354250,230000,54300,70000
Amazon,"Santa Clara, CA",2022-09-14 00:00:00,352375,200000,83100,69300
Google,"Mountain View, CA",2022-09-28 00:00:00,350000,200000,120000,30000
Snowflake,"San Francisco, CA",2022-09-14 00:00:00,350000,190000,141000,19000
Atlassian,"Mountain View, CA",2022-09-18 00:00:00,339000,187000,124000,28000
eBay,"San Jose, CA",2022-09-17 00:00:00,336000,186000,150000,N/A
Amazon,"Sunnyvale, CA",2022-09-16 00:00:00,330000,160000,90000,80000
Verily,"South San Francisco, CA",2022-09-23 00:00:00,330000,141000,34000,155000
LinkedIn,"Sunnyvale, CA",2022-09-24 00:00:00,329500,204500,105000,20000
Adobe,"San Jose, CA",2022-09-30 00:00:00,325500,185000,103800,36800
Apple,"Cupertino, CA",2022-10-05 00:00:00,325250,185000,112500,27800
Amazon,"Palo Alto, CA",2022-09-29 00:00:00,325000,175000,150000,N/A
Oracle,"Redwood City, CA",2022-09-09 00:00:00,317000,157000,160000,N/A
Amazon,"Cupertino, CA",2022-09-24 00:00:00,315250,202000,57000,56300
Google,"Mountain View, CA",2022-09-29 00:00:00,312500,160000,100000,52500
ByteDance,"Mountain View, CA",2022-09-21 00:00:00,310250,205000,46500,58800
Oracle,"Redwood City, CA",2022-09-09 00:00:00,310000,155000,155000,N/A
Amazon,"Santa Clara, CA",2022-09-29 00:00:00,309000,194000,45000,70000
LinkedIn,"Sunnyvale, CA",2022-09-15 00:00:00,306000,160000,130000,16000
Waymo,"San Francisco, CA",2022-09-09 00:00:00,305000,175000,95000,35000
